행정구역별(읍면동)	총인구 (명)	남자 (명)	여자 (명)	내국인-계 (명)	내국인-남자 (명)	내국인-여자 (명)	외국인-계 (명)	외국인-남자 (명)	외국인-여자 (명)	가구-계 (가구)	일반가구 (가구)	집단가구 (가구)	외국인가구 (가구)	주택-계 (호)	단독주택 (호)	아파트 (호)	연립주택 (호)	다세대주택 (호)	비거주용 건물내 주택 (호)	주택이외의 거처 (호)
　　　금정구	237219.0	115300.0	121919.0	232543.0	113370.0	119173.0	4676.0	1930.0	2746.0	103542.0	101802.0	93.0	1647.0	86739.0	15909.0	48483.0	3085.0	17956.0	1306.0	4345.0
　　　강서구	136734.0	72095.0	64639.0	130624.0	67026.0	63598.0	6110.0	5069.0	1041.0	52737.0	51376.0	45.0	1316.0	48150.0	8642.0	38108.0	290.0	682.0	428.0	3182.0
　　　연제구	204947.0	98187.0	106760.0	203893.0	97813.0	106080.0	1054.0	374.0	680.0	86043.0	85699.0	36.0	308.0	75081.0	10339.0	51196.0	1504.0	11150.0	892.0	5435.0
　　　수영구	171461.0	80701.0	90760.0	169791.0	79945.0	89846.0	1670.0	756.0	914.0	77302.0	76700.0	32.0	570.0	69748.0	9902.0	38453.0	2236.0	18399.0	758.0	5257.0
　　　사상구	216350.0	108761.0	107589.0	210611.0	105673.0	104938.0	5739.0	3088.0	2651.0	92172.0	90678.0	57.0	1437.0	76688.0	9601.0	57308.0	767.0	8127.0	885.0	4336.0
　　　기장군	169465.0	83788.0	85677.0	166947.0	82125.0	84822.0	2518.0	1663.0	855.0	67189.0	66584.0	45.0	560.0	65541.0	8247.0	51256.0	1490.0	3884.0	664.0	2266.0
대구광역시	2410700.0	1190271.0	1220429.0	2373302.0	1170625.0	1202677.0	37398.0	19646.0	17752.0	997416.0	985816.0	512.0	11088.0	809802.0	142457.0	595392.0	9093.0	52492.0	10368.0	22788.0
　　　읍부	237111.0	120575.0	116536.0	230595.0	116681.0	113914.0	6516.0	3894.0	2622.0	91581.0	89718.0	53.0	1810.0	86924.0	8607.0	75198.0	579.0	1714.0	826.0	2153.0
　　　면부	23902.0	12553.0	11349.0	22438.0	11436.0	11002.0	1464.0	1117.0	347.0	9997.0	9652.0	24.0	321.0	10671.0	4381.0	5710.0	86.0	336.0	158.0	586.0
　　　동부	2149687.0	1057143.0	1092544.0	2120269.0	1042508.0	1077761.0	29418.0	14635.0	14783.0	895838.0	886446.0	435.0	8957.0	712207.0	129469.0	514484.0	8428.0	50442.0	9384.0	20049.0
　　　중구	74278.0	35692.0	38586.0	73499.0	35341.0	38158.0	779.0	351.0	428.0	35114.0	34805.0	37.0	272.0	25584.0	6362.0	16880.0	356.0	1152.0	834.0	3350.0
　　　동구	333294.0	163476.0	169818.0	331000.0	162756.0	168244.0	2294.0	720.0	1574.0	142473.0	141788.0	71.0	614.0	123199.0	22612.0	83630.0	2313.0	12960.0	1684.0	3814.0
　　　서구	170437.0	84983.0	85454.0	167380.0	83390.0	83990.0	3057.0	1593.0	1464.0	75132.0	74097.0	45.0	990.0	51379.0	20821.0	17950.0	747.0	10768.0	1093.0	1162.0
　　　남구	145588.0	69569.0	76019.0	143788.0	68869.0	74919.0	1800.0	700.0	1100.0	69654.0	69120.0	54.0	480.0	42607.0	19036.0	16495.0	552.0	5660.0	864.0	1122.0
　　　북구	446466.0	222464.0	224002.0	440171.0	219461.0	220710.0	6295.0	3003.0	3292.0	181778.0	179584.0	69.0	2125.0	147686.0	19686.0	118066.0	1875.0	6233.0	1826.0	4079.0
　　　수성구	412912.0	200040.0	212872.0	410742.0	199194.0	211548.0	2170.0	846.0	1324.0	160984.0	160239.0	38.0	707.0	136996.0	20359.0	107205.0	1274.0	7035.0	1123.0	2961.0
　　　달서구	566712.0	280919.0	285793.0	553689.0	273497.0	280192.0	13023.0	7422.0	5601.0	230703.0	226813.0	121.0	3769.0	184756.0	20593.0	154258.0	1311.0	6634.0	1960.0	3561.0
　　　달성군	261013.0	133128.0	127885.0	253033.0	128117.0	124916.0	7980.0	5011.0	2969.0	101578.0	99370.0	77.0	2131.0	97595.0	12988.0	80908.0	665.0	2050.0	984.0	2739.0
인천광역시	2945454.0	1477064.0	1468390.0	2846242.0	1422376.0	1423866.0	99212.0	54688.0	44524.0	1178564.0	1147200.0	762.0	30602.0	1032774.0	95700.0	661611.0	27704.0	238777.0	8982.0	91011.0
　　　읍부	21601.0	10700.0	10901.0	21239.0	10524.0	10715.0	362.0	176.0	186.0	8871.0	8790.0	9.0	72.0	8913.0	3378.0	1155.0	843.0	3379.0	158.0	270.0
　　　면부	63711.0	33489.0	30222.0	62618.0	32732.0	29886.0	1093.0	757.0	336.0	28141.0	27787.0	67.0	287.0	28702.0	23949.0	1831.0	778.0	1486.0	658.0	1434.0
　　　동부	2860142.0	1432875.0	1427267.0	2762385.0	1379120.0	1383265.0	97757.0	53755.0	44002.0	1141552.0	1110623.0	686.0	30243.0	995159.0	68373.0	658625.0	26083.0	233912.0	8166.0	89307.0
　　　중구	138586.0	71310.0	67276.0	133337.0	68621.0	64716.0	5249.0	2689.0	2560.0	61142.0	59494.0	56.0	1592.0	50974.0	8061.0	32631.0	1848.0	7749.0	685.0	7279.0
　　　동구	61285.0	30795.0	30490.0	60090.0	30155.0	29935.0	1195.0	640.0	555.0	25606.0	25234.0	15.0	357.0	24518.0	6421.0	14429.0	356.0	3032.0	280.0	819.0
　　　연수구	390260.0	194264.0	195996.0	371668.0	184541.0	187127.0	18592.0	9723.0	8869.0	147391.0	141117.0	65.0	6209.0	127407.0	3499.0	116186.0	919.0	6502.0	301.0	9356.0
　　　남동구	528927.0	264341.0	264586.0	512093.0	253646.0	258447.0	16834.0	10695.0	6139.0	211978.0	207421.0	116.0	4441.0	187149.0	8091.0	128749.0	3155.0	45899.0	1255.0	17805.0
　　　부평구	500812.0	247253.0	253559.0	478998.0	236449.0	242549.0	21814.0	10804.0	11010.0	201550.0	193963.0	107.0	7480.0	168544.0	10590.0	108034.0	4420.0	44166.0	1334.0	21060.0
　　　계양구	292852.0	145258.0	147594.0	288215.0	143290.0	144925.0	4637.0	1968.0	2669.0	114972.0	113632.0	67.0	1273.0	107004.0	3628.0	68453.0	1815.0	32456.0	652.0	4531.0
　　　서구	541534.0	275253.0	266281.0	524595.0	264212.0	260383.0	16939.0	11041.0	5898.0	205791.0	200854.0	109.0	4828.0	182797.0	8883.0	121370.0	9023.0	42531.0	990.0	11628.0
　　　미추홀구	405886.0	204401.0	201485.0	393389.0	198206.0	195183.0	12497.0	6195.0	6302.0	173122.0	168908.0	151.0	4063.0	146766.0	19200.0	68773.0	4547.0	51577.0	2669.0	16829.0
　　　강화군	66020.0	33116.0	32904.0	64866.0	32389.0	32477.0	1154.0	727.0	427.0	28145.0	27827.0	69.0	249.0	29323.0	21295.0	2344.0	1055.0	4030.0	599.0	1359.0
　　　옹진군	19292.0	11073.0	8219.0	18991.0	10867.0	8124.0	301.0	206.0	95.0	8867.0	8750.0	7.0	110.0	8292.0	6032.0	642.0	566.0	835.0	217.0	345.0
광주광역시	1477573.0	734140.0	743433.0	1447000.0	717832.0	729168.0	30573.0	16308.0	14265.0	608316.0	599217.0	395.0	8704.0	538275.0	81315.0	432295.0	9972.0	8863.0	5830.0	15016.0
　　　동구	106005.0	52810.0	53195.0	103761.0	51647.0	52114.0	2244.0	1163.0	1081.0	48193.0	47388.0	55.0	750.0	40108.0	10867.0	25080.0	921.0	2353.0	887.0	1540.0
　　　서구	294854.0	145078.0	149776.0	292538.0	144078.0	148460.0	2316.0	1000.0	1316.0	124973.0	124204.0	52.0	717.0	106173.0	13935.0	88118.0	1489.0	1583.0	1048.0	4833.0
　　　남구	214860.0	103479.0	111381.0	212832.0	102693.0	110139.0	2028.0	786.0	1242.0	87579.0	87098.0	55.0	426.0	80737.0	15551.0	61467.0	1555.0	1287.0	877.0	1447.0
　　　북구	439352.0	218672.0	220680.0	433239.0	215775.0	217464.0	6113.0	2897.0	3216.0	183018.0	181167.0	103.0	1748.0	162768.0	22958.0	132331.0	2615.0	2775.0	2089.0	3275.0
　　　광산구	422502.0	214101.0	208401.0	404630.0	203639.0	200991.0	17872.0	10462.0	7410.0	164553.0	159360.0	130.0	5063.0	148489.0	18004.0	125299.0	3392.0	865.0	929.0	3921.0
대전광역시	1488435.0	744349.0	744086.0	1465507.0	733852.0	731655.0	22928.0	10497.0	12431.0	639020.0	631208.0	460.0	7352.0	496875.0	79189.0	367235.0	10473.0	34684.0	5294.0	13153.0
　　　동구	232559.0	117184.0	115375.0	227028.0	114602.0	112426.0	5531.0	2582.0	2949.0	104650.0	102668.0	107.0	1875.0	79262.0	18943.0	49761.0	2306.0	7082.0	1170.0	1120.0
　　　중구	231959.0	113814.0	118145.0	229936.0	113104.0	116832.0	2023.0	710.0	1313.0	98346.0	97687.0	81.0	578.0	82051.0	17988.0	51780.0	2471.0	8355.0	1457.0	1330.0
　　　서구	478629.0	235043.0	243586.0	474200.0	233293.0	240907.0	4429.0	1750.0	2679.0	204879.0	203296.0	102.0	1481.0	153397.0	20196.0	122782.0	2488.0	6938.0	993.0	4186.0
　　　유성구	368895.0	188856.0	180039.0	360991.0	184871.0	176120.0	7904.0	3985.0	3919.0	156839.0	154100.0	121.0	2618.0	119063.0	11309.0	101693.0	1606.0	3580.0	875.0	5415.0
　　　대덕구	176393.0	89452.0	86941.0	173352.0	87982.0	85370.0	3041.0	1470.0	1571.0	74306.0	73457.0	49.0	800.0	63102.0	10753.0	41219.0	1602.0	8729.0	799.0	1102.0
울산광역시	1135423.0	585978.0	549445.0	1108528.0	570131.0	538397.0	26895.0	15847.0	11048.0	452995.0	444087.0	235.0	8673.0	394634.0	65747.0	289432.0	7996.0	24781.0	6678.0	12763.0
　　　읍부	190747.0	99367.0	91380.0	183302.0	94780.0	88522.0	7445.0	4587.0	2858.0	75217.0	72478.0	40.0	2699.0	68156.0	11632.0	50651.0	1207.0	3590.0	1076.0	1763.0
　　　면부	34303.0	18372.0	15931.0	32152.0	16519.0	15633.0	2151.0	1853.0	298.0	14796.0	14358.0	46.0	392.0	15024.0	10169.0	3272.0	731.0	459.0	393.0	1068.0
　　　동부	910373.0	468239.0	442134.0	893074.0	458832.0	434242.0	17299.0	9407.0	7892.0	362982.0	357251.0	149.0	5582.0	311454.0	43946.0	235509.0	6058.0	20732.0	5209.0	9932.0
　　　중구	214147.0	108242.0	105905.0	211294.0	107065.0	104229.0	2853.0	1177.0	1676.0	87519.0	86488.0	29.0	1002.0	70794.0	14841.0	45763.0	1892.0	6934.0	1364.0	2325.0
　　　남구	320175.0	163148.0	157027.0	313527.0	159693.0	153834.0	6648.0	3455.0	3193.0	132915.0	130469.0	70.0	2376.0	110405.0	13856.0	83718.0	2288.0	8205.0	2338.0	5695.0
　　　동구	159000.0	84211.0	74789.0	154482.0	81326.0	73156.0	4518.0	2885.0	1633.0	62485.0	61081.0	23.0	1381.0	53662.0	7866.0	39779.0	1391.0	3782.0	844.0	1011.0
　　　북구	217051.0	112638.0	104413.0	213771.0	110748.0	103023.0	3280.0	1890.0	1390.0	80063.0	79213.0	27.0	823.0	76593.0	7383.0	66249.0	487.0	1811.0	663.0	901.0
　　　울주군	225050.0	117739.0	107311.0	215454.0	111299.0	104155.0	9596.0	6440.0	3156.0	90013.0	86836.0	86.0	3091.0	83180.0	21801.0	53923.0	1938.0	4049.0	1469.0	2831.0
