Code,Year,Age,   ASFR
    AUS,1978,24,0.1407
    AUS,1978,25,0.1522
    AUS,1978,26,0.15555
    AUS,1978,27,0.1511
    AUS,1978,28,0.14265
    AUS,1978,29,0.13005
    AUS,1978,30,0.1132
    AUS,1978,31,0.0931
    AUS,1978,32,0.07675
    AUS,1978,33,0.0634
    AUS,1978,34,0.05105
    AUS,1978,35,0.0412
    AUS,1978,36,0.0323
    AUS,1978,37,0.02485
    AUS,1978,38,0.0191
    AUS,1978,39,0.0151
    AUS,1978,40,0.011
    AUS,1978,41,0.00715
    AUS,1978,42,0.0047
    AUS,1978,43,0.00315
    AUS,1978,44,0.002
    AUS,1978,45,0.00105
    AUS,1978,46,0.0005
    AUS,1978,47,0.0002
    AUS,1978,48,0.0001
    AUS,1978,49,0.00008
    AUS,1978,50,0.00007
    AUS,1979,14,0.00026
    AUS,1979,15,0.00229
    AUS,1979,16,0.00895
    AUS,1979,17,0.0196
    AUS,1979,18,0.0334
    AUS,1979,19,0.04875
    AUS,1979,20,0.06585
    AUS,1979,21,0.08425
    AUS,1979,22,0.10245
    AUS,1979,23,0.11945
    AUS,1979,24,0.1345
    AUS,1979,25,0.1468
    AUS,1979,26,0.1528
    AUS,1979,27,0.15035
    AUS,1979,28,0.1415
    AUS,1979,29,0.1294
    AUS,1979,30,0.11405
    AUS,1979,31,0.09565
    AUS,1979,32,0.0785
    AUS,1979,33,0.0631
    AUS,1979,34,0.05125
    AUS,1979,35,0.0419
    AUS,1979,36,0.03295
    AUS,1979,37,0.02505
    AUS,1979,38,0.0182
    AUS,1979,39,0.01425
    AUS,1979,40,0.01105
    AUS,1979,41,0.00725
    AUS,1979,42,0.0048
    AUS,1979,43,0.0031
    AUS,1979,44,0.002
    AUS,1979,45,0.00125
    AUS,1979,46,0.0007
    AUS,1979,47,0.00035
    AUS,1979,48,0.00015
    AUS,1979,49,0.00009
    AUS,1979,50,0.00005
    AUS,1980,14,0.00025
    AUS,1980,15,0.00215
    AUS,1980,16,0.0084
    AUS,1980,17,0.01825
    AUS,1980,18,0.03235
    AUS,1980,19,0.0473
    AUS,1980,20,0.0628
    AUS,1980,21,0.08015
    AUS,1980,22,0.09955
    AUS,1980,23,0.11895
    AUS,1980,24,0.13385
    AUS,1980,25,0.14475
    AUS,1980,26,0.14965
    AUS,1980,27,0.14855
    AUS,1980,28,0.14255
    AUS,1980,29,0.1292
    AUS,1980,30,0.11445
    AUS,1980,31,0.0973
    AUS,1980,32,0.08
    AUS,1980,33,0.06585
    AUS,1980,34,0.05275
    AUS,1980,35,0.0418
    AUS,1980,36,0.03285
    AUS,1980,37,0.0257
    AUS,1980,38,0.01905
    AUS,1980,39,0.014
    AUS,1980,40,0.0105
    AUS,1980,41,0.0072
    AUS,1980,42,0.0044
    AUS,1980,43,0.00295
    AUS,1980,44,0.00175
    AUS,1980,45,0.00095
    AUS,1980,46,0.0006
    AUS,1980,47,0.0003
    AUS,1980,48,0.0001
    AUS,1980,49,0.00006
    AUS,1980,50,0.00004
    AUS,1981,14,0.00024
    AUS,1981,15,0.00215
    AUS,1981,16,0.0085
    AUS,1981,17,0.0186
    AUS,1981,18,0.0327
    AUS,1981,19,0.04795
    AUS,1981,20,0.06325
    AUS,1981,21,0.0802
    AUS,1981,22,0.09925
    AUS,1981,23,0.11955
    AUS,1981,24,0.13545
    AUS,1981,25,0.14575
    AUS,1981,26,0.15235
    AUS,1981,27,0.15315
    AUS,1981,28,0.14685
    AUS,1981,29,0.13445
    AUS,1981,30,0.1182
    AUS,1981,31,0.1011
    AUS,1981,32,0.08435
    AUS,1981,33,0.0687
    AUS,1981,34,0.05545
    AUS,1981,35,0.0439
    AUS,1981,36,0.034
    AUS,1981,37,0.02555
    AUS,1981,38,0.0197
    AUS,1981,39,0.01475
    AUS,1981,40,0.01035
    AUS,1981,41,0.00745
    AUS,1981,42,0.00475
    AUS,1981,43,0.0028
    AUS,1981,44,0.00165
    AUS,1981,45,0.00085
    AUS,1981,46,0.00055
    AUS,1981,47,0.0003
    AUS,1981,48,0.00015
    AUS,1981,49,0.00009
    AUS,1981,50,0.00005
    AUS,1982,14,0.00024
    AUS,1982,15,0.00211
    AUS,1982,16,0.00825
    AUS,1982,17,0.0186
    AUS,1982,18,0.03235
    AUS,1982,19,0.04645
    AUS,1982,20,0.0616
    AUS,1982,21,0.0777
    AUS,1982,22,0.0957
    AUS,1982,23,0.1135
    AUS,1982,24,0.13045
    AUS,1982,25,0.1449
    AUS,1982,26,0.15085
    AUS,1982,27,0.1506
    AUS,1982,28,0.1458
    AUS,1982,29,0.13645
    AUS,1982,30,0.123
    AUS,1982,31,0.1046
    AUS,1982,32,0.08675
    AUS,1982,33,0.07105
    AUS,1982,34,0.05695
    AUS,1982,35,0.0447
    AUS,1982,36,0.0348
    AUS,1982,37,0.02725
    AUS,1982,38,0.02015
    AUS,1982,39,0.01505
    AUS,1982,40,0.01115
    AUS,1982,41,0.00745
    AUS,1982,42,0.0047
    AUS,1982,43,0.003
    AUS,1982,44,0.00175
    AUS,1982,45,0.0009
    AUS,1982,46,0.0005
    AUS,1982,47,0.0003
    AUS,1982,48,0.00007
    AUS,1982,49,0.00002
    AUS,1982,50,0.00001
    AUS,1983,14,0.00026
    AUS,1983,15,0.00219
    AUS,1983,16,0.00825
    AUS,1983,17,0.01795
    AUS,1983,18,0.03115
    AUS,1983,19,0.0454
    AUS,1983,20,0.06065
    AUS,1983,21,0.077
    AUS,1983,22,0.0941
    AUS,1983,23,0.1118
    AUS,1983,24,0.1287
    AUS,1983,25,0.14355
    AUS,1983,26,0.152
    AUS,1983,27,0.1507
    AUS,1983,28,0.146
    AUS,1983,29,0.13845
    AUS,1983,30,0.123
    AUS,1983,31,0.10525
    AUS,1983,32,0.0876
    AUS,1983,33,0.07245
    AUS,1983,34,0.05905
    AUS,1983,35,0.04525
    AUS,1983,36,0.0347
    AUS,1983,37,0.02605
    AUS,1983,38,0.0199
    AUS,1983,39,0.01465
    AUS,1983,40,0.0101
    AUS,1983,41,0.0072
    AUS,1983,42,0.00475
    AUS,1983,43,0.00285
    AUS,1983,44,0.0016
    AUS,1983,45,0.0009
    AUS,1983,46,0.00045
    AUS,1983,47,0.00015
    AUS,1983,48,0.0001
    AUS,1983,49,0.00008
    AUS,1983,50,0.00007
    AUS,1984,14,0.00019
    AUS,1984,15,0.00171
    AUS,1984,16,0.007
    AUS,1984,17,0.016
    AUS,1984,18,0.0282
    AUS,1984,19,0.0406
    AUS,1984,20,0.05355
    AUS,1984,21,0.0684
    AUS,1984,22,0.0851
    AUS,1984,23,0.1028
    AUS,1984,24,0.1201
    AUS,1984,25,0.13395
    AUS,1984,26,0.1434
    AUS,1984,27,0.1478
    AUS,1984,28,0.14285
    AUS,1984,29,0.13335
    AUS,1984,30,0.12115
    AUS,1984,31,0.10495
    AUS,1984,32,0.08885
    AUS,1984,33,0.07225
    AUS,1984,34,0.0575
    AUS,1984,35,0.04585
    AUS,1984,36,0.0358
    AUS,1984,37,0.0265
    AUS,1984,38,0.0193
    AUS,1984,39,0.0146
    AUS,1984,40,0.0103
    AUS,1984,41,0.0068
    AUS,1984,42,0.00465
    AUS,1984,43,0.00305
    AUS,1984,44,0.00165
    AUS,1984,45,0.0009
    AUS,1984,46,0.0005
    AUS,1984,47,0.00025
    AUS,1984,48,0.0001
    AUS,1984,49,0.00008
    AUS,1984,50,0.00007
    AUS,1985,14,0.0002
    AUS,1985,15,0.00175
    AUS,1985,16,0.007
    AUS,1985,17,0.0156
    AUS,1985,18,0.02745
    AUS,1985,19,0.04045
    AUS,1985,20,0.05435
    AUS,1985,21,0.0692
    AUS,1985,22,0.0859
    AUS,1985,23,0.1047
    AUS,1985,24,0.12135
    AUS,1985,25,0.13525
    AUS,1985,26,0.14645
    AUS,1985,27,0.15255
    AUS,1985,28,0.15155
    AUS,1985,29,0.1412
    AUS,1985,30,0.1286
    AUS,1985,31,0.11425
    AUS,1985,32,0.09635
    AUS,1985,33,0.0794
    AUS,1985,34,0.06435
    AUS,1985,35,0.05125
    AUS,1985,36,0.03885
    AUS,1985,37,0.02925
    AUS,1985,38,0.0214
    AUS,1985,39,0.0151
    AUS,1985,40,0.0111
    AUS,1985,41,0.00715
    AUS,1985,42,0.00455
    AUS,1985,43,0.0029
    AUS,1985,44,0.00165
    AUS,1985,45,0.001
