Country,Year,porteqassets
Ireland,2003,222502.71
Ireland,2004,304942.8617
Ireland,2005,383154.763
Ireland,2006,573199.227
Ireland,2007,649172.5464
Ireland,2008,427868.4231
Ireland,2009,539873.4936
Ireland,2010,603914.2968
Ireland,2011,565778.4774
Italy,1970,400.9742204
Italy,1971,523.5148959
Italy,1972,707.3
Italy,1973,707.33
Italy,1974,706.77
Italy,1975,683.2
Italy,1976,573.71
Italy,1977,704.49
Italy,1978,1102.74
Italy,1979,998.76
Italy,1980,2198.82
Italy,1981,2186.67
Italy,1982,2317.52
Italy,1983,2219.34
Italy,1984,3152.57
Italy,1985,5165.92
Italy,1986,7941.07
Italy,1987,9051.1
Italy,1988,8326.89
Italy,1989,14070.05
Italy,1990,16880.1202
Italy,1991,20401.96859
Italy,1992,16425.72972
Italy,1993,22511.08834
Italy,1994,26245.96083
Italy,1995,33002.38178
Italy,1996,40870.23945
Italy,1997,64156.75542
Italy,1998,110173.1267
Italy,1999,210929.8344
Italy,2000,285553.701
Italy,2001,239473.0051
Italy,2002,247463.8364
Italy,2003,331049.982
Italy,2004,399682.3651
Italy,2005,416449.4361
Italy,2006,534842.919
Italy,2007,589974.9891
Italy,2008,318132.8781
Italy,2009,400069.026
Italy,2010,454318.6896
Italy,2011,409393.8417
Japan,1970,39.84052105
Japan,1971,124.9001005
Japan,1972,379.4763589
Japan,1973,793.900055
Japan,1974,574.7572705
Japan,1975,761.1333491
Japan,1976,816.6898439
Japan,1977,787.976028
Japan,1978,955.0985317
Japan,1979,1637.080716
Japan,1980,1755.011546
Japan,1981,1755.637974
Japan,1982,2049.447825
Japan,1983,3050.941044
Japan,1984,3103.99204
Japan,1985,5312.50085
Japan,1986,13470.53841
Japan,1987,27568.4952
Japan,1988,33930.31518
Japan,1989,61566.87087
Japan,1990,62960.955
Japan,1991,79709.22275
Japan,1992,76450.51771
Japan,1993,108618.7315
Japan,1994,119049.1003
Japan,1995,146260
Japan,1996,154900
Japan,1997,158770
Japan,1998,209380
Japan,1999,285340
Japan,2000,262250
Japan,2001,227351.2898
Japan,2002,210818.2676
Japan,2003,274458.1699
Japan,2004,364691.2614
Japan,2005,408574.7224
Japan,2006,510419.4151
Japan,2007,573469.4446
Japan,2008,394672.9644
Japan,2009,594036.8571
Japan,2010,678481.6599
Japan,2011,665849.0504
