Country,Year,debtassets
Iceland,1977,58.88834491
Iceland,1978,76.33903729
Iceland,1979,101.3247868
Iceland,1980,143.7602635
Iceland,1981,159.8023806
Iceland,1982,160.4609142
Iceland,1983,197.6320769
Iceland,1984,218.8025659
Iceland,1985,186.7
Iceland,1986,187
Iceland,1987,258
Iceland,1988,241
Iceland,1989,261
Iceland,1990,244.3
Iceland,1991,218.28
Iceland,1992,175.56
Iceland,1993,219.7
Iceland,1994,318.36
Iceland,1995,329.85
Iceland,1996,339.43
Iceland,1997,465.92
Iceland,1998,521.75
Iceland,1999,689.63
Iceland,2000,539.66
Iceland,2001,1046.342885
Iceland,2002,1509.12137
Iceland,2003,4062.036907
Iceland,2004,7968.070118
Iceland,2005,19037.62002
Iceland,2006,35900.59864
Iceland,2007,60093.14516
Iceland,2008,16200.72805
Iceland,2009,13156.82946
Iceland,2010,13569.60452
Iceland,2011,11403.68348
Ireland,1970,1496.626188
Ireland,1971,2138.437107
Ireland,1972,2390.500071
Ireland,1973,3639.395679
Ireland,1974,4693.313209
Ireland,1975,4347.187511
Ireland,1976,4579.420285
Ireland,1977,5875.873726
Ireland,1978,7336.685706
Ireland,1979,9408.498616
Ireland,1980,11361.67696
Ireland,1981,11110.12799
Ireland,1982,5169.794875
Ireland,1983,4864.800096
Ireland,1984,4936.163984
Ireland,1985,5986.287792
Ireland,1986,7056.319061
Ireland,1987,10329.2878
Ireland,1988,11832.1482
Ireland,1989,15915.59433
Ireland,1990,24229.59578
Ireland,1991,25055.12311
Ireland,1992,33539.61134
Ireland,1993,40702.39317
Ireland,1994,55200.33864
Ireland,1995,83239.76229
Ireland,1996,124466.2271
Ireland,1997,197007.6272
Ireland,1998,335797.6505
Ireland,1999,422184.1546
Ireland,2000,468654.6995
Ireland,2001,561139.5734
Ireland,2002,750674.1418
Ireland,2003,1057107.003
Ireland,2004,1333807.821
Ireland,2005,1484361.064
Ireland,2006,1942848.936
Ireland,2007,2503780.066
Ireland,2008,2390569.016
Ireland,2009,2433743.878
Ireland,2010,2325995.495
Ireland,2011,2488724.783
Italy,1970,28758.1288
Italy,1971,32757.928
Italy,1972,42885.84
Italy,1973,48939
Italy,1974,36997.53
Italy,1975,39148.57
Italy,1976,35418.28
Italy,1977,39590.38
Italy,1978,52641.16
Italy,1979,66762.44
Italy,1980,64892
Italy,1981,66750.84
Italy,1982,62324.82
Italy,1983,64281.41
Italy,1984,66522.71
Italy,1985,82241.89
Italy,1986,102359.86
Italy,1987,124230.9
Italy,1988,128263
Italy,1989,164616.17
Italy,1990,214900.72
Italy,1991,258658.96
Italy,1992,275748.15
Italy,1993,306567
Italy,1994,353603
