Country,Year,nfa
Ireland,2002,-24638
Ireland,2003,-35638
Ireland,2004,-47846
Ireland,2005,-47273
Ireland,2006,-12571
Ireland,2007,-54525
Ireland,2008,-179109
Ireland,2009,-227711
Ireland,2010,-200932
Ireland,2011,-198966
Italy,1970,3743
Italy,1971,4902
Italy,1972,6294
Italy,1973,-785
Italy,1974,-3073
Italy,1975,-7027
Italy,1976,-9266
Italy,1977,-6229
Italy,1978,-776
Italy,1979,8615
Italy,1980,-3563
Italy,1981,-16162
Italy,1982,-23042
Italy,1983,-19340
Italy,1984,-18899
Italy,1985,-38646
Italy,1986,-47864
Italy,1987,-53073
Italy,1988,-61024
Italy,1989,-86979
Italy,1990,-138803
Italy,1991,-160911
Italy,1992,-150574
Italy,1993,-125398
Italy,1994,-112949
Italy,1995,-100884
Italy,1996,-105199
Italy,1997,-96902
Italy,1998,-133867
Italy,1999,-173856
Italy,2000,-168198
Italy,2001,-129763
Italy,2002,-207759
Italy,2003,-276502
Italy,2004,-325674
Italy,2005,-282843
Italy,2006,-452592
Italy,2007,-626856
Italy,2008,-596545
Italy,2009,-652235
Italy,2010,-616668
Italy,2011,-556273
Japan,1970,12148
Japan,1971,17917
Japan,1972,23128
Japan,1973,16107
Japan,1974,-8455
Japan,1975,9117
Japan,1976,14101
Japan,1977,31158
Japan,1978,49193
Japan,1979,27534
Japan,1980,11436
Japan,1981,11818
Japan,1982,25634
Japan,1983,37242
Japan,1984,74389
Japan,1985,129869
Japan,1986,180407
Japan,1987,240793
Japan,1988,291798
Japan,1989,293277
Japan,1990,328151
Japan,1991,383129
Japan,1992,513683
Japan,1993,610884
Japan,1994,689070
Japan,1995,816031
Japan,1996,890060
Japan,1997,957577
Japan,1998,1153278
Japan,1999,828385
Japan,2000,1151851
Japan,2001,1354825
Japan,2002,1455728
Japan,2003,1603856
Japan,2004,1775859
Japan,2005,1523054
Japan,2006,1793058
Japan,2007,2180352
Japan,2008,2474105
Japan,2009,2884834
Japan,2010,3106645
Japan,2011,3379979
Netherlands,1970,7422
Netherlands,1971,8949
Netherlands,1972,8870
Netherlands,1973,11551
Netherlands,1974,14312
Netherlands,1975,15120
Netherlands,1976,16873
Netherlands,1977,17927
Netherlands,1978,19216
Netherlands,1979,20540
Netherlands,1980,25543
Netherlands,1981,21439
Netherlands,1982,18830
Netherlands,1983,29140
Netherlands,1984,29778
Netherlands,1985,30467
Netherlands,1986,29954
Netherlands,1987,37082
Netherlands,1988,41887
Netherlands,1989,41777
Netherlands,1990,52604
Netherlands,1991,54870
Netherlands,1992,44145
Netherlands,1993,49863
Netherlands,1994,-39546
Netherlands,1995,51443
Netherlands,1996,25194
Netherlands,1997,17993
Netherlands,1998,-23309
Netherlands,1999,-41045
Netherlands,2000,-67247
Netherlands,2001,-60812
Netherlands,2002,-127937
Netherlands,2003,-20743
Netherlands,2004,13830
Netherlands,2005,-27356
Netherlands,2006,9808
Netherlands,2007,-67416
Netherlands,2008,17496
Netherlands,2009,108321
Netherlands,2010,156639
Netherlands,2011,243479
New Zealand,1970,-1691
New Zealand,1971,-1751
New Zealand,1972,-1528
New Zealand,1973,-1764
New Zealand,1974,-2705
New Zealand,1975,-3514
New Zealand,1976,-3928
New Zealand,1977,-4892
New Zealand,1978,-5610
New Zealand,1979,-5991
New Zealand,1980,-6840
New Zealand,1981,-8575
New Zealand,1982,-11137
New Zealand,1983,-10995
New Zealand,1984,-10484
New Zealand,1985,-13867
New Zealand,1986,-17140
New Zealand,1987,-19580
New Zealand,1988,-18341
New Zealand,1989,-25783
New Zealand,1990,-25178
New Zealand,1991,-26860
New Zealand,1992,-33470
New Zealand,1993,-43389
New Zealand,1994,-49933
New Zealand,1995,-60477
New Zealand,1996,-75627
New Zealand,1997,-69570
New Zealand,1998,-55181
New Zealand,1999,-52923
New Zealand,2000,-38096
New Zealand,2001,-32839
New Zealand,2002,-46629
New Zealand,2003,-62364
New Zealand,2004,-79983
New Zealand,2005,-81780
New Zealand,2006,-91102
New Zealand,2007,-103862
New Zealand,2008,-88421
New Zealand,2009,-109556
New Zealand,2010,-112326
New Zealand,2011,-112279
Norway,1970,-1366
Norway,1971,-2148
Norway,1972,-2463
Norway,1973,-3232
Norway,1974,-5090
Norway,1975,-7849
Norway,1976,-12767
Norway,1977,-19421
Norway,1978,-23957
Norway,1979,-25440
Norway,1980,-21841
Norway,1981,-19914
Norway,1982,-19008
Norway,1983,-16714
Norway,1984,-12350
Norway,1985,-10019
Norway,1986,-16623
Norway,1987,-20179
Norway,1988,-21489
Norway,1989,-22525
Norway,1990,-16328
Norway,1991,-13614
Norway,1992,-7889
Norway,1993,-4225
Norway,1994,1450
Norway,1995,5593
Norway,1996,6767
Norway,1997,10704
Norway,1998,16979
Norway,1999,36784
Norway,2000,46941
Norway,2001,60908
Norway,2002,90525
Norway,2003,112822
Norway,2004,127938
Norway,2005,168455
Norway,2006,207674
Norway,2007,225858
Norway,2008,210607
Norway,2009,326259
Norway,2010,381808
Norway,2011,423243
Spain,1970,-4167
Spain,1971,-3186
Spain,1972,-1166
Spain,1973,162
Spain,1974,-2915
Spain,1975,-5737
Spain,1976,-10871
Spain,1977,-14220
Spain,1978,-13133
Spain,1979,-13801
Spain,1980,-16602
Spain,1981,-23143
Spain,1982,-25466
Spain,1983,-26167
Spain,1984,-22793
Spain,1985,-23401
Spain,1986,-25511
Spain,1987,-32501
Spain,1988,-40368
Spain,1989,-54859
Spain,1990,-64064
Spain,1991,-86052
Spain,1992,-93880
Spain,1993,-90732
Spain,1994,-98960
Spain,1995,-112359
Spain,1996,-106619
Spain,1997,-88356
Spain,1998,-117888
Spain,1999,-166703
Spain,2000,-180166
Spain,2001,-218400
Spain,2002,-323598
Spain,2003,-454446
Spain,2004,-601822
Spain,2005,-603878
Spain,2006,-862220
Spain,2007,-1218855
Spain,2008,-1208960
Spain,2009,-1429326
Spain,2010,-1261784
Spain,2011,-1274993
Sweden,1970,-508
Sweden,1971,-238
Sweden,1972,18
Sweden,1973,1252
Sweden,1974,578
Sweden,1975,-505
Sweden,1976,-2083
Sweden,1977,-2056
Sweden,1978,-4498
Sweden,1979,-7397
Sweden,1980,-13401
