Country,Year,PATAPPRESID
Greece,1960,694
Greece,1961,679
Greece,1962,845
Greece,1963,731
Greece,1964,845
Greece,1965,881
Greece,1966,954
Greece,1967,1008
Greece,1968,1317
Greece,1969,1462
Greece,1970,1381
Greece,1971,1406
Greece,1972,1481
Greece,1973,1317
Greece,1974,1426
Greece,1975,1457
Greece,1976,1334
Greece,1977,1288
Greece,1978,1510
Greece,1979,1346
Greece,1980,1265
Greece,1981,1221
Greece,1982,1264
Greece,1983,1191
Greece,1984,1277
Greece,1985,1121
Greece,1986,1249
Greece,1987,1539
Greece,1988,205
Greece,1989,216
Greece,1990,241
Greece,1991,188
Greece,1992,222
Greece,1993,221
Greece,1994,267
Greece,1995,266
Greece,1996,267
Greece,1997,293
Greece,1998,276
Greece,1999,290
Greece,2000,306
Greece,2001,385
Greece,2002,376
Greece,2003,393
Greece,2004,379
Greece,2005,462
Greece,2006,532
Greece,2007,575
Greece,2008,628
Greece,2009,698
Greece,2010,728
Greece,2011,721
Greece,2012,628
Greece,2013,698
Greece,2014,651
Greece,2015,550
Greece,2016,..
Iceland,1960,..
Iceland,1961,..
Iceland,1962,..
Iceland,1963,8
Iceland,1964,15
Iceland,1965,..
Iceland,1966,17
Iceland,1967,17
Iceland,1968,18
Iceland,1969,26
Iceland,1970,19
Iceland,1971,11
Iceland,1972,17
Iceland,1973,11
Iceland,1974,13
Iceland,1975,14
Iceland,1976,14
Iceland,1977,13
Iceland,1978,10
Iceland,1979,9
Iceland,1980,19
Iceland,1981,14
Iceland,1982,18
Iceland,1983,32
Iceland,1984,28
Iceland,1985,21
Iceland,1986,29
Iceland,1987,28
Iceland,1988,16
Iceland,1989,18
Iceland,1990,17
Iceland,1991,34
Iceland,1992,28
Iceland,1993,34
Iceland,1994,22
Iceland,1995,19
Iceland,1996,16
Iceland,1997,22
Iceland,1998,41
Iceland,1999,35
Iceland,2000,51
Iceland,2001,49
Iceland,2002,71
Iceland,2003,57
Iceland,2004,66
Iceland,2005,47
Iceland,2006,45
Iceland,2007,61
Iceland,2008,50
Iceland,2009,64
Iceland,2010,57
Iceland,2011,50
Iceland,2012,37
Iceland,2013,33
Iceland,2014,51
Iceland,2015,40
Iceland,2016,..
Ireland,1960,..
Ireland,1961,..
Ireland,1962,..
Ireland,1963,99
Ireland,1964,117
Ireland,1965,157
Ireland,1966,130
Ireland,1967,152
Ireland,1968,168
Ireland,1969,195
Ireland,1970,205
Ireland,1971,219
Ireland,1972,249
Ireland,1973,264
Ireland,1974,266
Ireland,1975,339
Ireland,1976,363
Ireland,1977,348
Ireland,1978,333
Ireland,1979,352
Ireland,1980,394
Ireland,1981,461
Ireland,1982,434
Ireland,1983,567
Ireland,1984,651
Ireland,1985,726
Ireland,1986,743
Ireland,1987,719
Ireland,1988,727
Ireland,1989,736
Ireland,1990,734
Ireland,1991,786
Ireland,1992,752
Ireland,1993,788
Ireland,1994,811
Ireland,1995,840
Ireland,1996,793
Ireland,1997,796
Ireland,1998,985
Ireland,1999,996
Ireland,2000,925
Ireland,2001,1019
Ireland,2002,914
Ireland,2003,862
Ireland,2004,787
Ireland,2005,789
Ireland,2006,838
Ireland,2007,847
Ireland,2008,931
Ireland,2009,908
Ireland,2010,733
Ireland,2011,494
Ireland,2012,492
Ireland,2013,333
Ireland,2014,263
Ireland,2015,250
Ireland,2016,..
Italy,1960,7222
Italy,1961,..
Italy,1962,..
Italy,1963,6918
Italy,1964,..
Italy,1965,..
Italy,1966,7622
Italy,1967,7253
Italy,1968,7604
Italy,1969,7259
Italy,1970,7241
Italy,1971,7196
Italy,1972,7042
Italy,1973,5779
Italy,1974,5473
Italy,1975,6110
Italy,1976,..
Italy,1977,..
Italy,1978,..
Italy,1979,..
Italy,1980,6369
Italy,1981,..
Italy,1982,..
Italy,1983,..
Italy,1984,..
Italy,1985,2000
Italy,1986,..
Italy,1987,..
Italy,1988,2289
Italy,1989,..
Italy,1990,..
Italy,1991,..
Italy,1992,7568
Italy,1993,7493
Italy,1994,7872
Italy,1995,..
Italy,1996,6997
Italy,1997,..
Italy,1998,..
Italy,1999,6281
Italy,2000,7877
Italy,2001,..
Italy,2002,..
Italy,2003,..
Italy,2004,..
Italy,2005,..
Italy,2006,..
Italy,2007,9255
Italy,2008,8588
Italy,2009,8814
Italy,2010,8877
Italy,2011,8794
Italy,2012,8439
Italy,2013,8307
Italy,2014,8601
Italy,2015,..
Italy,2016,..
Japan,1960,..
Japan,1961,..
Japan,1962,..
Japan,1963,53876
Japan,1964,55556
Japan,1965,60796
Japan,1966,62962
Japan,1967,61721
Japan,1968,71114
Japan,1969,77132
Japan,1970,100513
Japan,1971,78425
Japan,1972,101328
Japan,1973,115221
Japan,1974,121509
Japan,1975,135118
Japan,1976,135762
Japan,1977,135991
Japan,1978,141517
Japan,1979,150623
Japan,1980,165730
Japan,1981,186389
Japan,1982,196719
Japan,1983,227708
Japan,1984,256195
Japan,1985,274348
Japan,1986,290132
Japan,1987,310908
Japan,1988,308775
Japan,1989,317353
Japan,1990,332952
Japan,1991,335564
Japan,1992,337498
Japan,1993,331774
Japan,1994,319261
Japan,1995,333770
Japan,1996,339045
Japan,1997,349211
Japan,1998,357379
Japan,1999,357531
Japan,2000,384201
Japan,2001,382815
Japan,2002,365204
Japan,2003,358184
Japan,2004,368416
Japan,2005,367960
Japan,2006,347060
Japan,2007,333498
Japan,2008,330110
Japan,2009,295315
Japan,2010,290081
Japan,2011,287580
Japan,2012,287013
Japan,2013,271731
Japan,2014,265959
Japan,2015,258839
Japan,2016,..
Netherlands,1960,2220
Netherlands,1961,2302
Netherlands,1962,..
Netherlands,1963,2491
Netherlands,1964,2149
Netherlands,1965,2505
Netherlands,1966,2595
Netherlands,1967,2491
Netherlands,1968,2477
Netherlands,1969,2431
Netherlands,1970,2462
Netherlands,1971,2313
Netherlands,1972,2283
Netherlands,1973,2103
Netherlands,1974,2096
Netherlands,1975,1966
Netherlands,1976,1857
Netherlands,1977,1960
Netherlands,1978,2011
Netherlands,1979,2049
Netherlands,1980,1826
Netherlands,1981,1897
Netherlands,1982,1873
Netherlands,1983,1889
Netherlands,1984,1840
Netherlands,1985,1938
Netherlands,1986,1866
Netherlands,1987,1970
Netherlands,1988,2158
Netherlands,1989,2205
Netherlands,1990,2147
Netherlands,1991,1605
Netherlands,1992,1753
Netherlands,1993,1733
Netherlands,1994,1748
Netherlands,1995,2123
Netherlands,1996,2348
Netherlands,1997,2391
Netherlands,1998,2451
Netherlands,1999,2545
Netherlands,2000,2465
Netherlands,2001,2110
Netherlands,2002,2122
Netherlands,2003,2288
Netherlands,2004,2187
Netherlands,2005,2217
Netherlands,2006,2168
Netherlands,2007,2079
Netherlands,2008,2421
Netherlands,2009,2575
Netherlands,2010,2527
Netherlands,2011,2585
Netherlands,2012,2375
Netherlands,2013,2315
Netherlands,2014,2294
Netherlands,2015,2207
Netherlands,2016,..
New Zealand,1960,..
New Zealand,1961,..
New Zealand,1962,..
New Zealand,1963,862
New Zealand,1964,932
New Zealand,1965,188
New Zealand,1966,788
New Zealand,1967,997
New Zealand,1968,1037
New Zealand,1969,961
New Zealand,1970,897
New Zealand,1971,988
New Zealand,1972,1062
New Zealand,1973,979
New Zealand,1974,908
New Zealand,1975,1243
New Zealand,1976,1237
New Zealand,1977,1055
New Zealand,1978,1065
New Zealand,1979,1124
New Zealand,1980,1148
New Zealand,1981,1033
New Zealand,1982,986
New Zealand,1983,1110
New Zealand,1984,1001
New Zealand,1985,1008
New Zealand,1986,957
New Zealand,1987,912
New Zealand,1988,803
New Zealand,1989,807
New Zealand,1990,802
New Zealand,1991,983
New Zealand,1992,1031
New Zealand,1993,1236
New Zealand,1994,1254
New Zealand,1995,1284
New Zealand,1996,1275
New Zealand,1997,1572
New Zealand,1998,1181
New Zealand,1999,1420
New Zealand,2000,1463
New Zealand,2001,1768
New Zealand,2002,1839
New Zealand,2003,1845
New Zealand,2004,1631
New Zealand,2005,1893
New Zealand,2006,2153
New Zealand,2007,1892
New Zealand,2008,1256
New Zealand,2009,1555
New Zealand,2010,1585
New Zealand,2011,1501
New Zealand,2012,1425
New Zealand,2013,1614
New Zealand,2014,1636
New Zealand,2015,1184
New Zealand,2016,..
Portugal,1960,..
Portugal,1961,..
Portugal,1962,..
Portugal,1963,179
Portugal,1964,146
Portugal,1965,128
Portugal,1966,122
Portugal,1967,109
Portugal,1968,95
Portugal,1969,103
Portugal,1970,178
Portugal,1971,192
Portugal,1972,134
Portugal,1973,109
Portugal,1974,54
Portugal,1975,72
Portugal,1976,77
Portugal,1977,79
Portugal,1978,120
Portugal,1979,96
Portugal,1980,92
Portugal,1981,90
Portugal,1982,92
Portugal,1983,91
Portugal,1984,96
Portugal,1985,85
Portugal,1986,77
Portugal,1987,61
Portugal,1988,54
Portugal,1989,86
Portugal,1990,101
Portugal,1991,102
Portugal,1992,69
Portugal,1993,88
Portugal,1994,103
Portugal,1995,81
Portugal,1996,86
Portugal,1997,71
Portugal,1998,96
Portugal,1999,81
Portugal,2000,81
Portugal,2001,107
Portugal,2002,130
Portugal,2003,125
Portugal,2004,123
Portugal,2005,158
Portugal,2006,184
Portugal,2007,250
Portugal,2008,381
Portugal,2009,571
Portugal,2010,499
Portugal,2011,571
Portugal,2012,621
Portugal,2013,647
Portugal,2014,722
Portugal,2015,925
Portugal,2016,..
Spain,1960,..
Spain,1961,..
Spain,1962,..
Spain,1963,..
Spain,1964,..
Spain,1965,4089
Spain,1966,5500
Spain,1967,4270
Spain,1968,3792
Spain,1969,3392
Spain,1970,2966
Spain,1971,2754
Spain,1972,2488
Spain,1973,2135
Spain,1974,2036
Spain,1975,1903
Spain,1976,1760
Spain,1977,1863
Spain,1978,1804
Spain,1979,1893
Spain,1980,1876
Spain,1981,1718
Spain,1982,1646
Spain,1983,1498
Spain,1984,1784
Spain,1985,2149
Spain,1986,1649
Spain,1987,1720
Spain,1988,1816
Spain,1989,2087
Spain,1990,2218
Spain,1991,2156
Spain,1992,2076
Spain,1993,2165
Spain,1994,2136
Spain,1995,2047
Spain,1996,2274
Spain,1997,2237
Spain,1998,2271
Spain,1999,2439
Spain,2000,2710
Spain,2001,2528
Spain,2002,2763
Spain,2003,2813
Spain,2004,2871
Spain,2005,3040
Spain,2006,3111
Spain,2007,3267
Spain,2008,3632
Spain,2009,3596
Spain,2010,3566
Spain,2011,3430
Spain,2012,3266
Spain,2013,3026
Spain,2014,2953
Spain,2015,2799
Spain,2016,..
Sweden,1960,..
Sweden,1961,..
Sweden,1962,..
Sweden,1963,4293
Sweden,1964,4422
Sweden,1965,4814
Sweden,1966,4857
Sweden,1967,5309
Sweden,1968,4742
Sweden,1969,4333
Sweden,1970,4343
Sweden,1971,4397
Sweden,1972,4484
Sweden,1973,4865
Sweden,1974,4460
Sweden,1975,4042
Sweden,1976,4141
Sweden,1977,4503
Sweden,1978,4556
Sweden,1979,4116
Sweden,1980,4106
Sweden,1981,3914
Sweden,1982,4087
Sweden,1983,4283
Sweden,1984,3969
Sweden,1985,3840
Sweden,1986,3685
Sweden,1987,3521
Sweden,1988,3260
Sweden,1989,3147
Sweden,1990,3108
Sweden,1991,3154
Sweden,1992,3291
Sweden,1993,3760
Sweden,1994,3953
Sweden,1995,3941
Sweden,1996,4111
Sweden,1997,4130
Sweden,1998,3972
Sweden,1999,4142
Sweden,2000,4224
Sweden,2001,3926
Sweden,2002,3358
Sweden,2003,3025
Sweden,2004,2768
Sweden,2005,2522
Sweden,2006,2446
Sweden,2007,2527
Sweden,2008,2549
Sweden,2009,2186
Sweden,2010,2196
Sweden,2011,2004
Sweden,2012,2288
Sweden,2013,2332
Sweden,2014,1984
Sweden,2015,2038
Sweden,2016,..
Switzerland,1960,4874
Switzerland,1961,4821
Switzerland,1962,..
Switzerland,1963,5108
Switzerland,1964,5188
Switzerland,1965,5721
Switzerland,1966,5581
Switzerland,1967,5591
Switzerland,1968,5928
Switzerland,1969,5850
Switzerland,1970,5927
Switzerland,1971,6141
Switzerland,1972,6139
Switzerland,1973,5517
Switzerland,1974,5396
Switzerland,1975,5834
Switzerland,1976,5693
Switzerland,1977,5542
Switzerland,1978,4555
Switzerland,1979,4441
Switzerland,1980,4049
Switzerland,1981,3712
Switzerland,1982,3845
Switzerland,1983,3817
Switzerland,1984,3393
Switzerland,1985,3191
Switzerland,1986,3199
Switzerland,1987,3298
Switzerland,1988,3236
Switzerland,1989,3247
Switzerland,1990,2987
Switzerland,1991,2949
Switzerland,1992,3068
Switzerland,1993,2999
Switzerland,1994,3033
Switzerland,1995,2890
Switzerland,1996,2504
Switzerland,1997,2408
Switzerland,1998,2025
Switzerland,1999,1916
Switzerland,2000,2083
Switzerland,2001,1859
Switzerland,2002,1827
Switzerland,2003,1831
Switzerland,2004,1742
Switzerland,2005,1643
Switzerland,2006,1740
Switzerland,2007,1692
Switzerland,2008,1594
Switzerland,2009,1684
Switzerland,2010,1622
Switzerland,2011,1597
Switzerland,2012,1480
Switzerland,2013,1525
Switzerland,2014,1480
Switzerland,2015,1477
Switzerland,2016,..
Turkey,1960,..
Turkey,1961,..
Turkey,1962,..
Turkey,1963,55
Turkey,1964,78
Turkey,1965,99
Turkey,1966,124
Turkey,1967,107
Turkey,1968,87
Turkey,1969,85
Turkey,1970,89
Turkey,1971,96
Turkey,1972,..
Turkey,1973,137
Turkey,1974,92
Turkey,1975,98
Turkey,1976,118
Turkey,1977,119
Turkey,1978,89
Turkey,1979,73
Turkey,1980,134
Turkey,1981,157
Turkey,1982,126
Turkey,1983,..
Turkey,1984,153
Turkey,1985,132
Turkey,1986,174
Turkey,1987,138
Turkey,1988,153
Turkey,1989,162
Turkey,1990,138
Turkey,1991,148
Turkey,1992,189
Turkey,1993,169
Turkey,1994,151
Turkey,1995,170
Turkey,1996,189
Turkey,1997,203
Turkey,1998,207
Turkey,1999,276
Turkey,2000,277
Turkey,2001,337
Turkey,2002,414
Turkey,2003,489
Turkey,2004,682
Turkey,2005,928
Turkey,2006,1072
Turkey,2007,1810
Turkey,2008,2221
Turkey,2009,2555
Turkey,2010,3180
Turkey,2011,3885
Turkey,2012,4434
Turkey,2013,4392
Turkey,2014,4766
Turkey,2015,5352
Turkey,2016,..
United Kingdom,1960,..
United Kingdom,1961,..
United Kingdom,1962,..
United Kingdom,1963,24300
United Kingdom,1964,23963
United Kingdom,1965,24274
United Kingdom,1966,14206
United Kingdom,1967,25786
United Kingdom,1968,26711
United Kingdom,1969,25904
United Kingdom,1970,25227
United Kingdom,1971,24771
United Kingdom,1972,24337
United Kingdom,1973,22472
United Kingdom,1974,20545
United Kingdom,1975,20842
United Kingdom,1976,21797
United Kingdom,1977,21114
United Kingdom,1978,19384
United Kingdom,1979,19468
United Kingdom,1980,19612
United Kingdom,1981,20808
United Kingdom,1982,20530
United Kingdom,1983,19893
United Kingdom,1984,19093
United Kingdom,1985,19672
United Kingdom,1986,20040
United Kingdom,1987,19945
United Kingdom,1988,20536
United Kingdom,1989,19732
United Kingdom,1990,19310
United Kingdom,1991,19230
United Kingdom,1992,18848
United Kingdom,1993,18727
United Kingdom,1994,18384
United Kingdom,1995,18630
United Kingdom,1996,18184
United Kingdom,1997,17938
United Kingdom,1998,19530
United Kingdom,1999,21333
United Kingdom,2000,22050
United Kingdom,2001,21423
United Kingdom,2002,20624
United Kingdom,2003,20426
United Kingdom,2004,19178
United Kingdom,2005,17833
United Kingdom,2006,17484
United Kingdom,2007,17375
United Kingdom,2008,16523
United Kingdom,2009,15985
United Kingdom,2010,15490
United Kingdom,2011,15343
United Kingdom,2012,15370
United Kingdom,2013,14972
United Kingdom,2014,15196
United Kingdom,2015,14867
United Kingdom,2016,..
United States,1960,63090
United States,1961,66335
United States,1962,..
United States,1963,66715
United States,1964,67013
United States,1965,72317
United States,1966,66855
United States,1967,64118
United States,1968,67180
United States,1969,71008
United States,1970,72343
United States,1971,71089
United States,1972,65943
United States,1973,66935
United States,1974,64093
United States,1975,64445
United States,1976,65050
United States,1977,62863
United States,1978,61441
United States,1979,60535
United States,1980,62098
United States,1981,62404
United States,1982,63316
United States,1983,59391
United States,1984,61841
United States,1985,63673
United States,1986,65195
United States,1987,68315
United States,1988,75192
United States,1989,82370
United States,1990,90643
United States,1991,87955
United States,1992,92425
United States,1993,99955
United States,1994,107233
United States,1995,123962
United States,1996,106892
United States,1997,119214
United States,1998,134733
United States,1999,149251
United States,2000,164795
United States,2001,177513
United States,2002,184245
United States,2003,188941
United States,2004,189536
United States,2005,207867
United States,2006,221784
United States,2007,241347
United States,2008,231588
United States,2009,224912
United States,2010,241977
United States,2011,247750
United States,2012,268782
United States,2013,287831
United States,2014,285096
United States,2015,288335
United States,2016,..
Norway,1960,..
Norway,1961,..
Norway,1962,..
Norway,1963,992
Norway,1964,918
Norway,1965,870
Norway,1966,906
Norway,1967,961
Norway,1968,987
Norway,1969,876
Norway,1970,938
Norway,1971,856
Norway,1972,855
Norway,1973,800
Norway,1974,741
Norway,1975,752
Norway,1976,801
Norway,1977,817
Norway,1978,774
Norway,1979,793
Norway,1980,716
Norway,1981,714
Norway,1982,693
Norway,1983,825
Norway,1984,961
Norway,1985,923
Norway,1986,903
Norway,1987,884
Norway,1988,904
Norway,1989,1015
Norway,1990,899
Norway,1991,924
Norway,1992,941
Norway,1993,1031
Norway,1994,1074
Norway,1995,1128
Norway,1996,1291
Norway,1997,1256
Norway,1998,1213
Norway,1999,1335
Norway,2000,1311
Norway,2001,1189
Norway,2002,1178
Norway,2003,1079
Norway,2004,1142
Norway,2005,1143
Norway,2006,1119
Norway,2007,1225
Norway,2008,1150
Norway,2009,1246
Norway,2010,1117
Norway,2011,1122
Norway,2012,1009
Norway,2013,1101
Norway,2014,1106
Norway,2015,1153
Norway,2016,..
,,
,,
,,
Data from database: World Development Indicators,,
Last Updated: 06/30/2017,,
